config_name	policy	scope	flip_source	n_eval_contacts	top1_correct_contacts	top1_accuracy	same_cross_correct_contacts	same_cross_accuracy	pmax_threshold	n_called_contacts	called_contact_fraction	pmax_threshold_accuracy	pmax_threshold_recall	delta_top1_vs_cis_selected	target_plus_0p1_met	uses_snp_for_base_gauge	uses_snp_for_pair_decoder_selection	uses_snp_labeled_denominator_for_selection_weight	uses_charm_for_denominator_filter	decoder_selection_denominator	decoder_selection_n_records	decoder_selection_total_weight	eval_only_uses_snp_for_selection	eval_only_uses_snp_for_scoring	eval_only_uses_charm_shared_denominator
p9016_pcgamma1_td0p5_lct0p03_gct0p003_best035	cis_selected_whole_chrom	genome_trans	cis_snp_truth_whole_chrom	143977	50825	0.353007772	79579	0.552720226	0.9	48570	0.337345548	0.466049001	0.157219556	0	0	1	0	0	1	none_cis_snp_gauge_only	0	0	0	1	1
p9016_pcgamma1_td0p5_lct0p03_gct0p003_best035	pair_independent_4state_oracle	genome_trans	snp_truth_oracle	143977	60213	0.418212631	87425	0.607215041	0.9	48570	0.337345548	0.585937822	0.197663516	0.0652048591	0	1	1	1	1	snp_truth_eval_contacts	114605	143977	1	1	1
p9016_pcgamma1_td0p5_lct0p03_gct0p003_best035	blind_geom_nearest_to_posterior_top	genome_trans	blind_posterior_reconstruction_geometry	143977	50825	0.353007772	79579	0.552720226	0.9	48570	0.337345548	0.466049001	0.157219556	0	0	1	0	0	1	raw_posterior_trans_bpair	403163	568434	0	1	1
p9016_pcgamma1_td0p5_lct0p03_gct0p003_best035	blind_geom_nearest_gap_weighted	genome_trans	blind_posterior_reconstruction_geometry	143977	50825	0.353007772	79579	0.552720226	0.9	48570	0.337345548	0.466049001	0.157219556	0	0	1	0	0	1	raw_posterior_trans_bpair	403163	568434	0	1	1
p9016_pcgamma1_td0p5_lct0p03_gct0p003_best035	blind_margin_geom_gap_weighted	genome_trans	blind_posterior_reconstruction_geometry	143977	50825	0.353007772	79579	0.552720226	0.9	48570	0.337345548	0.466049001	0.157219556	0	0	1	0	0	1	raw_posterior_trans_bpair	403163	568434	0	1	1
p9016_pcgamma1_td0p5_lct0p03_gct0p003_best035	blind_pmax_geom_gap_weighted	genome_trans	blind_posterior_reconstruction_geometry	143977	50825	0.353007772	79579	0.552720226	0.9	48570	0.337345548	0.466049001	0.157219556	0	0	1	0	0	1	raw_posterior_trans_bpair	403163	568434	0	1	1
p9016_pcgamma1_td0p5_lct0p03_gct0p003_best035	blind_same_cross_distance_sum	genome_trans	blind_posterior_reconstruction_geometry	143977	41814	0.290421387	69790	0.4847302	0.9	48570	0.337345548	0.320938851	0.108267293	-0.0625863853	0	1	0	0	1	raw_posterior_trans_bpair	403163	568434	0	1	1
p9016_pcgamma1_td0p5_lct0p03_gct0p003_best035	blind_posterior_mass_same_cross	genome_trans	blind_posterior_reconstruction_geometry	143977	41240	0.286434639	69770	0.484591289	0.9	48570	0.337345548	0.312765081	0.105509908	-0.0665731332	0	1	0	0	1	raw_posterior_trans_bpair	403163	568434	0	1	1
p9016_pcgamma1_td0p5_lct0p03_gct0p003_best035	blind_chrom_center_same_closer	genome_trans	blind_reconstruction_geometry	143977	41667	0.28940039	69666	0.483868951	0.9	48570	0.337345548	0.319127033	0.107656084	-0.0636073817	0	1	0	0	1	raw_reconstruction_chrom_centers_plus_raw_trans_pair_set	190	NA	0	1	1
p9016_pcgamma1_td0p5_lct0p03_gct0p003_best035	blind_chrom_homolog_vector_dot	genome_trans	blind_reconstruction_geometry	143977	40631	0.282204797	68705	0.477194274	0.9	48570	0.337345548	0.30160593	0.101745418	-0.0708029755	0	1	0	0	1	raw_reconstruction_chrom_centers_plus_raw_trans_pair_set	190	NA	0	1	1
